,train structures,test structures,train mae ,train mape,train r2,train pearson,train spearman,test mae ,test mape,test r2,test pearson,test spearman
61,complete,ladder_random_binomial_cycle_path_,24884.70600078463,0.3090360155359895,-0.2945882291412798,0.710306751866278,0.7359263677054707,181057.28670581031,7.461886636814552,-137.38499208504433,0.7535442985359526,0.7165919454711275
62,cycle,ladder_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,24149.52295688994,0.38344678923653636,-1.3893293831583007,0.596109057669234,0.605699419190707
63,cycle,random_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,21343.446031370597,0.5158457525450597,-2.6853227432094995,0.5554496045045919,0.573109585753372
64,cycle,binomial_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,4405.549839877756,0.2291519607450084,0.44120159256995106,0.7377427985892738,0.49482071713147396
65,cycle,path_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,4267.504608293656,0.20973449371192585,0.19991189487022565,0.6495307446972111,0.6726040416646666
66,cycle,complete_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,717622.8862401183,0.9773032453131637,-4.144197252907927,0.45163131245334,0.49826218019488305
67,cycle,ladder_random_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,20970.790651873776,0.4427233189398717,-1.1249472547983137,0.7052184271074116,0.7085961695387125
68,cycle,ladder_binomial_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,13511.020686345353,0.3144439191306418,0.27309933950898346,0.8485494360173026,0.8407403638458215
69,cycle,ladder_path_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,13891.956636935385,0.30547008525044717,0.24472814463524473,0.8812840729838688,0.9001791388662219
70,cycle,ladder_complete_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,331870.6564800442,0.6693511521890828,-0.8196331027324029,-0.6337183507122454,-0.6158064609033744
71,cycle,random_binomial_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,13403.844434787938,0.37736989615262123,-0.4900719712227486,0.5843013564484599,0.6250287524600393
72,cycle,random_path_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,13652.484965619265,0.38986184529643625,-0.612882187229262,0.523009107580345,0.499441847069553
73,cycle,random_complete_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,405014.9435270958,0.7541798192381884,-0.8632631053585269,0.0046531022437258564,-0.09227475639610232
74,cycle,binomial_path_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,4190.933106355575,0.22270776536861758,0.2504512968954049,0.6018082983188456,0.5200145922334757
75,cycle,binomial_complete_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,360980.5891181844,0.6227445332479482,-0.7876871533791427,0.021188196677288697,0.07357288916622666
76,cycle,path_complete_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,390703.1303650424,0.6284610326263674,-0.7776053677999606,0.15853998123205154,0.1151231219699515
77,cycle,ladder_random_binomial_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,15746.916063066405,0.36810145232315084,-0.11368677208213773,0.7258092201505972,0.7360787212595401
78,cycle,ladder_random_path_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,16968.28255629223,0.3906582975330813,-0.17797389170099565,0.7925806002334921,0.7768670858733738
79,cycle,ladder_random_complete_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,272609.23508248234,0.6409438389446114,-0.5262389072745755,-0.38797748709452967,-0.17079710075361204
80,cycle,ladder_binomial_path_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,11424.80698896809,0.28056224395994983,0.372096694170315,0.8935946116897625,0.8583616377862046
81,cycle,ladder_binomial_complete_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,226382.06895012065,0.5324286680304406,-0.413439999918225,-0.3470552313032446,0.012409926558824941
82,cycle,ladder_path_complete_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,228233.49720862036,0.5098119573885638,-0.38376233354820943,-0.2938049539169043,0.044400710411366576
83,cycle,random_binomial_path_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,9614.105853587716,0.3172975612304192,-0.2881264398643659,0.4422687476980137,0.47648442375077993
84,cycle,random_binomial_complete_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,247217.34032492441,0.5726843185499184,-0.4313529606313131,-0.10157089822110292,0.11602937647002351
85,cycle,random_path_complete_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,262402.6698367937,0.5847210686699028,-0.43105138469167015,0.017710908687355878,0.020853453655258484
86,cycle,binomial_path_complete_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,265657.9843767377,0.5040105123556051,-0.4208100307439817,0.04171142357136415,0.15638688619017901
87,cycle,ladder_random_binomial_path_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,13237.207804935944,0.34354794489422213,0.07009986250148781,0.7562955450608216,0.7556653386454183
88,cycle,ladder_random_binomial_complete_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,168620.9421161766,0.5193304480135881,-0.29470900999377636,-0.325511654192031,-0.043853117649882395
89,cycle,ladder_random_path_complete_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,176885.39803611938,0.49871515871005306,-0.2835199614104005,-0.21595479135718923,0.14906158498535974
90,cycle,ladder_binomial_path_complete_,1237.3899810139214,0.1851886292021928,0.17933708454330832,0.690774338355394,0.7072712130848524,183195.1944665236,0.43585029595620084,-0.26305268457499675,-0.1754782005011452,0.2393491095857533
